03.01.2024	24/01/01	S159435 VK	1010	3001	73.65	V77	-7.70		-5.27
03.01.2024	24/01/02	Kontoübertrag von Payrexx Konto Dez 23	1010	K.001	944.81				
03.01.2024	24/01/03	Payrexx Auszahlungsgebühren 12/23	6840	K.001	0.30				
05.01.2024	24/01/04	S159436 Vorausk.	1010	3002	320.45	V26	-2.60		-8.12
08.01.2024	24/01/05	S159437 VK	1010	3002	317.40	V26	-2.60		-8.04
09.01.2024	24/01/06	S159439 VK	1010	3002	783.00	V26	-2.60		-19.84
15.01.2024	24/01/07	S159443 VK	1010		43.35				
15.01.2024	24/01/07	VK 7.7% MwSt 		3001	11.50	V81	-8.10		-0.86
15.01.2024	24/01/07	VK 2.5% MwSt		3002	31.85	V26	-2.60		-0.81
22.01.2024	24/01/08	S159444 VK	1010	3001	50.20	V81	-8.10		-3.76
22.01.2024	24/01/09	S159454 VK	1010	3001	255.80	V81	-8.10		-19.17
22.01.2024	24/01/10	S159455 VK	1010		68.35				
22.01.2024	24/01/10	VK 7.7% MwSt 		3001	25.71	V81	-8.10		-1.93
22.01.2024	24/01/10	VK 2.5% MwSt		3002	42.64	V26	-2.60		-1.08
23.01.2024	24/01/11	S159457 VK	1010	3002	640.90	V26	-2.60		-16.24
23.01.2024	24/01/12	S159452 VK	1010	3001	72.20	V81	-8.10		-5.41
24.01.2024	24/01/13	T18012401	1010		115.30				
24.01.2024	24/01/13	VK 7.7% MwSt 		3001	8.50	V81	-8.10		-0.64
24.01.2024	24/01/13	VK 2.5% MwSt		3002	106.80	V26	-2.60		-2.71
29.01.2024	24/01/14	S159462 VK	1010	3001	225.10	V81	-8.10		-16.87
29.01.2024	24/01/15	S159451 VK	1010	3001	58.55	V81	-8.10		-4.39
31.01.2024	24/01/16	S159464 VK	1010	3001	81.90	V81	-8.10		-6.14
31.01.2024	24/01/17	Kontoübertrag von Payrexx Konto	1010	1014	1’545.74				
02.01.2024	24/01/18	Google Ads 12/23	6600	1010	75.30	I0			
05.01.2024	24/01/19	Sunrise Business 12373615	6510	1010	52.75	I81	8.10		3.95
11.01.2024	24/01/20	Sanasis AG R52921		1010	206.05				
11.01.2024	24/01/20	EK 7.7% MwSt	4201		10.50	M81	8.10		0.79
11.01.2024	24/01/20	EK 2.5% MwSt	4202		195.55	M26	2.60		4.96
11.01.2024	24/01/21	MK-Europa GmbH & Co  RE2405640	4202	1010	247.20	M0			
11.01.2024	24/01/22	MK-Europa GmbH & Co  RE2405639	4202	1010	607.20	M0			
16.01.2024	24/01/23	Intercosina AG 12202401001	4201	1010	108.30	M81	8.10		8.11
17.01.2024	24/01/24	Niederhäuser AG 036607/01		1010	1’273.40				
17.01.2024	24/01/24	EK 7.7% MwSt	4201		15.50	M77	7.70		1.11
17.01.2024	24/01/24	EK 2.5% MwSt	4202		1’257.90	M25	2.50		30.68
23.01.2024	24/01/25	Dr. Niedermaier Pharma 2024-91279	4202	1010	834.75	M26	2.60		21.15
29.01.2024	24/01/26	Sanasis AG R53098		1010	39.12				
29.01.2024	24/01/26	EK 7.7% MwSt	4201		8.50	M81	8.10		0.64
29.01.2024	24/01/26	EK 2.5% MwSt	4202		30.62	M26	2.60		0.78
29.01.2024	24/01/27	Intercosina AG 12202401086	4201	1010	188.00	M81	8.10		14.09
08.01.2024	24/01/28	TCS Mitglidschaft 2024 Anteil 50%	6220	2851	76.50	I0			
09.01.2024	24/01/29	Trendhosting tr-47535	6600	1010	97.29	I81	8.10		7.29
09.01.2024	24/01/30	Hoststar Domain em-technologie.ch	6600	1010	11.90	I81	8.10		0.89
09.01.2024	24/01/31	Hoststar Webhosting StarEntry	6600	1010	142.80	I81	8.10		10.70
15.01.2024	24/01/32	Teleboy Handyabo Patrik 10/23	6510	1010	15.00	I77	7.70		1.07
15.01.2024	24/01/33	Teleboy Handyabo Patrik 11/23	6510	1010	14.50	I77	7.70		1.04
08.01.2024	24/01/34	S159438 Mastercard	1014		244.30				
08.01.2024	24/01/34	VK 2.5% MwSt		3002	238.00	V26	-2.60		-6.03
08.01.2024	24/01/34	Payrexx Gebühren		6840	6.30	V0			
08.01.2024	24/01/35	Payrexx Gebühren zu S159438	6840	1014	6.16	I0			
08.01.2024	24/01/36	S159440 TWINT	1014		139.80				
08.01.2024	24/01/36	VK 7.7% MwSt 		3001	115.80	V81	-8.10		-8.68
08.01.2024	24/01/36	VK 2.5% MwSt		3002	24.00	V26	-2.60		-0.61
08.01.2024	24/01/37	Payrexx Gebühren zu S159440	6840	1014	1.82	I0			
10.01.2024	24/01/38	S159441 TWINT	1014	3002	164.50	V26	-2.60		-4.17
10.01.2024	24/01/39	Payrexx Gebühren zu S159441	6840	1014	2.14	I0			
19.01.2024	24/01/40	S159450 Twint	1014		30.95				
19.01.2024	24/01/40	VK 7.7% MwSt 		3001	11.50	V81	-8.10		-0.86
19.01.2024	24/01/40	VK 2.5% MwSt		3002	19.45	V26	-2.60		-0.49
19.01.2024	24/01/41	Payrexx Gebühren zu S159450	6840	1014	0.40	I0			
21.01.2024	24/01/42	S159453 Mastercard	1014		147.40				
21.01.2024	24/01/42	VK 7.7% MwSt 		3001	78.10	V81	-8.10		-5.85
21.01.2024	24/01/42	VK 2.5% MwSt		3002	65.80	V26	-2.60		-1.67
21.01.2024	24/01/42	Payrexx Gebühren		6840	3.50	V0			
21.01.2024	24/01/43	Payrexx Gebühren zu S159453	6840	1014	3.84	I0			
22.01.2024	24/01/44	S159456 Visa	1014		167.60				
22.01.2024	24/01/44	VK 7.7% MwSt 		3001	5.50	V81	-8.10		-0.41
22.01.2024	24/01/44	VK 2.5% MwSt		3002	158.00	V26	-2.60		-4.00
22.01.2024	24/01/44	Payrexx Gebühren		6840	4.10	V0			
22.01.2024	24/01/45	Payrexx Gebühren zu S159456	6840	1014	4.32	I0			
26.01.2024	24/01/46	S159458 Twint	1014	3001	60.50	V81	-8.10		-4.53
26.01.2024	24/01/47	Payrexx Gebühren zu S159458	6840	1014	0.79	I0			
26.01.2024	24/01/48	S159458 Rückerstattung infolge n. lieferbarem Art.	3001	1014	60.50	-V81	8.10		4.53
26.01.2024	24/01/49	S159460 Twint	1014	3001	386.60	V81	-8.10		-28.97
26.01.2024	24/01/50	Payrexx Gebühren zu S159460	6840	1014	5.03	I0			
27.01.2024	24/01/51	S159461 Twint	1014	3001	53.50	V81	-8.10		-4.01
27.01.2024	24/01/52	Payrexx Gebühren zu S159461	6840	1014	0.70	I0			
31.01.2024	24/01/53	S159465 Twint	1014	3001	35.30	V81	-8.10		-2.65
31.01.2024	24/01/54	Payrexx Gebühren zu S159465	6840	1014	0.46	I0			
31.01.2024	24/01/55	Payrexx Auszahlungsgebühr	6840	1014	0.30	I0			
26.01.2024	24/01/56	Motorfahrzeugkontrolle TCS	6200	1010	59.00	I81	8.10		4.42
31.01.2024	24/01/57	E-Vignette 2024 Auto	6200	2850	40.00	I0			
05.01.2024	24/01/58	Geschäftsessen PB und JE	5820	2850	99.40	I81	8.10		7.45
06.01.2024	24/01/59	Büro Milch	6500	2850	1.95	I26	2.60		0.05
24.01.2024	24/01/60	Büro Pflanzen Anteil 50%	6500	2850	4.50	I26	2.60		0.11
24.01.2024	24/01/61	Büro Getränke	6500	2851	4.70	I26	2.60		0.12
27.01.2024	24/01/62	Büro Milch	6500	2851	1.95	I26	2.60		0.05
24.01.2024	24/01/63	Büro Toilettenpapier	6500	2851	4.93	I81	8.10		0.37
22.01.2024	24/01/64	Internet Tesla 01/24	6510	2850	13.00	I81	8.10		0.97
22.01.2024	24/01/65	Salt Abo JE 12/23	6510	2850	19.95	I77	7.70		1.43
15.01.2024	24/01/66	Salt Abo JE 01/24	6510	2850	19.95	I81	8.10		1.49
									
									
									
01.02.2024	24/02/01	S159463 VK	1010	3002	372.40	V26	-2.60		-9.44
02.02.2024	24/02/02	T29012401VK	1010	3001	217.50	V81	-8.10		-16.30
06.02.2024	24/02/03	S159468 VK	1010	3002	305.75	V26	-2.60		-7.75
09.02.2024	24/02/04	S159472 VK	1010		790.85				
09.02.2024	24/02/04	VK 8.1% MwSt 		3001	83.30	V81	-8.10		-6.24
09.02.2024	24/02/04	VK 2.6% MwSt		3002	707.55	V26	-2.60		-17.93
09.02.2024	24/02/05	S159471 QR 	1010		70.00				
09.02.2024	24/02/05	VK 8.1% MwSt 		3001	32.00	V81	-8.10		-2.40
09.02.2024	24/02/05	VK 2.6% MwSt		3002	38.00	V26	-2.60		-0.96
12.02.2024	24/02/06	S159478 VK	1010		85.90				
12.02.2024	24/02/06	VK 8.1% MwSt 		3001	8.50	V81	-8.10		-0.64
12.02.2024	24/02/06	VK 2.6% MwSt		3002	77.40	V26	-2.60		-1.96
13.02.2024	24/02/07	S159481 VK	1010		146.65				
13.02.2024	24/02/07	VK 8.1% MwSt 		3001	6.50	V81	-8.10		-0.49
13.02.2024	24/02/07	VK 2.6% MwSt		3002	140.15	V26	-2.60		-3.55
14.02.2024	24/02/08	S159490 VK	1010	3001	281.25	V81	-8.10		-21.07
14.02.2024	24/02/09	T11012401 QR	1010	3001	64.00	V81	-8.10		-4.80
19.02.2024	24/02/10	S159477 QR	1010	3001	128.50	V81	-8.10		-9.63
19.02.2024	24/02/11	S159494 VK	1010	3002	735.00	V26	-2.60		-18.63
20.02.2024	24/02/12	S159496 VK	1010	3001	104.55	V81	-8.10		-7.83
21.02.2024	24/02/13	S159493 VK	1010		132.05				
21.02.2024	24/02/13	VK 8.1% MwSt 		3001	38.95	V81	-8.10		-2.92
21.02.2024	24/02/13	VK 2.6% MwSt		3002	93.10	V26	-2.60		-2.36
22.02.2024	24/02/14	S159492 QR	1010		88.00				
22.02.2024	24/02/14	VK 8.1% MwSt 		3001	8.50	V81	-8.10		-0.64
22.02.2024	24/02/14	VK 2.6% MwSt		3002	79.50	V26	-2.60		-2.01
28.02.2024	24/02/15	S159501 VK	1010	3002	409.65	V26	-2.60		-10.38
29.02.2024	24/02/16	S159495 VK	1010		81.00				
29.02.2024	24/02/16	VK 8.1% MwSt 		3001	6.50	V81	-8.10		-0.49
29.02.2024	24/02/16	VK 2.6% MwSt		3002	74.50	V26	-2.60		-1.89
29.02.2024	24/02/17	S159500 VK	1010	3001	167.25	V81	-8.10		-12.53
29.02.2024	24/02/18	Kontoübertrag von Payrexx Konto	1010	1014	2’176.48				
04.02.2024	24/02/19	S159467 TWINT	1014	3001	104.50	V81	-8.10		-7.83
04.02.2024	24/02/20	Payrexx Gebühren zu S159467	6840	1014	1.36	I0			
05.02.2024	24/02/21	S159469 TWINT	1014	3001	306.00	V81	-8.10		-22.93
05.02.2024	24/02/22	Payrexx Gebühren zu S159469	6840	1014	3.98	I0			
09.02.2024	24/02/23	S159473 Mastercard	1014		286.55				
09.02.2024	24/02/23	VK 8.1% MwSt 		3001	279.30	V81	-8.10		-20.93
09.02.2024	24/02/23	Payrexx Gebühren		6840	7.25	V0			
09.02.2024	24/02/24	Payrexx Gebühren zu S159473	6840	1014	7.18	I0			
09.02.2024	24/02/25	S159474 TWINT	1014	3001	123.50	V81	-8.10		-9.25
09.02.2024	24/02/26	Payrexx Gebühren zu S159474	6840	1014	1.61	I0			
11.02.2024	24/02/27	S159475 TWINT	1014		164.50				
11.02.2024	24/02/27	VK 8.1% MwSt 		3001	8.50	V81	-8.10		-0.64
11.02.2024	24/02/27	VK 2.6% MwSt		3002	156.00	V26	-2.60		-3.95
11.02.2024	24/02/28	Payrexx Gebühren zu S159475	6840	1014	2.14	I0			
11.02.2024	24/02/29	S159476 TWINT	1014	3001	145.50	V81	-8.10		-10.90
11.02.2024	24/02/30	Payrexx Gebühren zu S159476	6840	1014	1.89	I0			
12.02.2024	24/02/31	S159482 TWINT	1014		169.00				
12.02.2024	24/02/31	VK 8.1% MwSt 		3001	6.50	V81	-8.10		-0.49
12.02.2024	24/02/31	VK 2.6% MwSt		3002	162.50	V26	-2.60		-4.12
12.02.2024	24/02/32	Payrexx Gebühren zu S159482	6840	1014	2.20	I0			
12.02.2024	24/02/33	S159487 TWINT	1014		94.00				
12.02.2024	24/02/33	VK 8.1% MwSt 		3001	50.00	V81	-8.10		-3.75
12.02.2024	24/02/33	VK 2.6% MwSt		3002	44.00	V26	-2.60		-1.12
12.02.2024	24/02/34	Payrexx Gebühren zu S159487	6840	1014	1.22	I0			
13.02.2024	24/02/35	S159488 Mastercard	1014		235.25				
13.02.2024	24/02/35	VK 8.1% MwSt 		3001	229.50	V81	-8.10		-17.20
13.02.2024	24/02/35	Payrexx Gebühren		6840	5.75	V0			
13.02.2024	24/02/36	Payrexx Gebühren zu S159488	6840	1014	5.95	I0			
14.02.2024	24/02/37	S159491 TWINT	1014	3001	108.50	V81	-8.10		-8.13
14.02.2024	24/02/38	Payrexx Gebühren zu S159491	6840	1014	1.41	I0			
23.02.2024	24/02/39	S159497 TWINT	1014	3001	20.50	V81	-8.10		-1.54
23.02.2024	24/02/40	Payrexx Gebühren zu S159497	6840	1014	0.27	I0			
27.02.2024	24/02/41	S159499 PostFinance	1014		75.80				
27.02.2024	24/02/41	VK 8.1% MwSt 		3001	74.50	V81	-8.10		-5.58
27.02.2024	24/02/41	Payrexx Gebühren		6840	1.30	V0			
27.02.2024	24/02/42	Payrexx Gebühren zu S159499	6840	1014	1.64	I0			
29.02.2024	24/02/43	S159502 TWINT	1014	3002	380.00	V26	-2.60		-9.63
29.02.2024	24/02/44	Payrexx Gebühren zu S159502	6840	1014	4.94	I0			
